family,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AWC,CEC,PH,TEB,toN,wind_flower,vapr,srad,srad_leaf
CC1,102.71897640000002,25.39839994,12.817500114440898,10.7323331832886,46.800685882568395,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925.0,186.0,11.0,84.7953491210938,514.0,39.0,514.0,39.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.982666651407877,1.183366691072782,14396.083333333334,15217.42857142857
CC10,100.3666667,27.266666669999996,10.9519996643066,11.697999954223599,45.83137512207029,515.053955078125,22.0279998779297,-3.49600005149841,25.524000167846697,16.8999996185303,4.88000011444092,16.8999996185303,4.32666683197021,769.0,144.0,9.0,69.5011291503906,373.0,39.0,373.0,47.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.6706666946411133,0.8515000119805333,14329.5,15065.142857142857
CC11,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.18548583984403,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771.0,145.0,9.0,70.6980819702148,378.0,39.0,378.0,44.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.874666611353557,0.8018999968965849,14243.666666666666,14995.42857142857
CC12,99.969875,27.361711109999998,8.74600028991699,11.043999671936,44.360538482666,527.765319824219,19.2159996032715,-5.67999982833862,24.8959999084473,14.852000236511198,2.80866670608521,14.852000236511198,1.9806667566299399,786.0,140.0,10.0,64.1189117431641,362.0,45.0,362.0,59.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.43733334541321,0.8092333376407626,14246.916666666666,15048.714285714286
CC121,110.9593306,31.09661111,11.3751668930054,8.15033340454102,27.3097877502441,795.067260742188,25.8719997406006,-3.97199988365173,29.8439998626709,20.9993324279785,1.3053332567215,20.9993324279785,1.3053332567215,1260.0,209.0,22.0,61.8129081726074,549.0,76.0,549.0,76.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.6893333594004303,1.1446666643023498,13405.166666666666,16283.714285714286
CC13,99.05,27.8,10.1781663894653,10.2416667938232,41.5112953186035,546.59228515625,20.9039993286133,-3.7679998874664298,24.6719989776611,16.492000579834,4.31533336639404,16.492000579834,3.21933317184448,935.0,169.0,11.0,66.5084991455078,439.0,48.0,439.0,73.0,156.0,18.0,5.09999990463257,5.0,2.25,2.1226666768391933,0.905466663340728,14514.25,15323.714285714286
CC14,98.9,28.06666667,9.61866664886475,9.99866676330566,40.7709465026855,554.758911132812,20.42799949646,-4.09600019454956,24.5240001678467,15.9953336715698,3.78066658973694,15.9953336715698,2.54533338546753,936.0,177.0,11.0,69.8322982788086,457.0,46.0,457.0,66.0,159.0,15.0,6.0,13.0,1.69000005722046,2.1373333136240635,0.8802666614452994,14492.166666666666,15384.285714285714
CC15,107.22152250000002,28.19575698,13.727000236511198,6.94400024414062,25.4582786560059,741.139221191406,27.9039993286133,0.628000020980835,27.275999069213903,20.8026657104492,4.18933343887329,22.541332244873,4.18933343887329,1125.0,184.0,18.0,64.6963043212891,510.0,60.0,481.0,60.0,34.0,24.0,7.699999809265139,29.0,2.49000000953674,2.0920000076293963,1.3434666693210595,12220.25,15064.142857142859
CC16,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903.0,164.0,12.0,83.0544891357422,486.0,37.0,486.0,37.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.083999951680504,1.0825666735569632,12007.083333333334,14073.42857142857
CC17,98.83058612,28.47025116,10.3266668319702,10.8793334960938,41.9921760559082,575.861938476562,21.7040004730225,-4.2039999961853,25.908000946044904,16.9646663665771,4.11933326721191,16.9646663665771,2.9546666145324694,901.0,183.0,8.0,77.7507400512695,471.0,34.0,471.0,47.0,165.0,15.0,8.0,39.0,1.01999998092651,1.9760000308354704,0.8620666662851965,14682.25,15578.57142857143
CC18,98.85,28.48333333,5.64516687393188,10.701000213623,41.7420806884766,578.132141113281,17.2040004730225,-8.43200016021729,25.6360015869141,12.4320001602173,-0.34933340549469,12.4320001602173,-1.58400011062622,674.0,132.0,8.0,69.7112884521484,326.0,35.0,326.0,38.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.6973332564036068,0.6391666680574416,14429.25,15526.57142857143
CC19,103.04470911428572,28.790697948571427,8.363809585571289,8.883713722229007,34.65960802350727,604.2955322265625,20.140571594238313,-5.490285532815119,25.630857467651342,15.5019048963274,0.484285750559398,15.5019048963274,0.484285750559398,935.4285714285714,177.0,10.0,86.08782741001676,508.42857142857144,31.0,508.42857142857144,31.0,152.57142857142858,15.142857142857142,5.599999972752163,7.714285714285714,1.7542857101985372,2.3249523526146283,0.98549524801118,12028.940476190477,14028.367346938774
CC2,102.7166667,25.4,12.8175001144409,10.7323331832886,46.8006858825684,443.2919921875,22.2919998168945,-0.639999985694885,22.931999206543,17.4759998321533,6.81933307647705,17.4759998321533,6.81933307647705,925.0,186.0,11.0,84.7953491210938,514.0,39.0,514.0,39.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.982666651407877,1.183366691072782,14396.083333333334,15217.42857142857
