geo_dit,env_dist,fst_adaptive,fst_neutral
0,0,0,0
2.89849351321802,3.97673674076405,0.39975,0.244763
3.94003024871252,4.30792697288921,0.408248,0.278138
4.98909672485093,5.56286760967834,0.434677,0.266981
6.40491320723403,7.44467194544904,0.402593,0.234546
3.92272883671089,5.91865716553187,0.469936,0.268071
4.58355438732641,4.82990475739219,0.509838,0.293352
3.19394698089324,10.53467063024,0.441087,0.252795
4.47252142635471,5.82581738631196,0.223243,0.157086
4.33770966129669,6.31438395527516,0.497892,0.277373
8.62592194219729,7.75100322167385,0.526051,0.298243
6.16787937652545,6.36690272441006,0.267558,0.183558
0.00173708071871141,1.65046518089335e-15,0.0450179,0.0248739
5.5639498013369,9.88819893608965,0.420489,0.231094
3.85348785819696,8.46212425836773,0.47451,0.262815
3.85706975849383,8.43217678327606,0.42829,0.223648
3.99177946100556,7.69654771498395,0.43096,0.235873
4.03120552098638,8.63779991998939,0.469394,0.278716
5.24494950147107,8.96595945983597,0.52604,0.349441
4.98617591331199,9.7120739884166,0.462182,0.258419
4.88860852481837,9.45071767915052,0.619899,0.400703
4.82316006922957,8.48447140041415,0.506638,0.287527
5.66128688040885,8.16081024942017,0.406813,0.218006
1.32486439492411,3.72634815251607,0.306461,0.226448
5.79107349930928,7.55724043310814,0.422649,0.265386
6.3178616006731,9.64470265735049,0.513765,0.337521
8.58787797158318,8.76269405572023,0.463988,0.309197
8.22972862348593,7.40606788020224,0.408638,0.260493
8.51491436928331,7.48416597116583,0.375663,0.229016
8.49619491324298,8.26357089096493,0.347977,0.2128
8.10309243518606,7.25654518658975,0.398238,0.235519
7.52850525673845,6.97252934158595,0.40567,0.23991
7.54701028668084,6.96555817953702,0.402223,0.239039
10.590516399908,8.82123487607218,0.504943,0.287564
1.32535661555273,3.72634815251607,0.304207,0.209974
8.25030802061019,7.39252922458552,0.458009,0.265
10.9467631032765,9.02678395831723,0.482274,0.262668
8.83331222285192,7.18649810707443,0.41803,0.227477
10.401961582501,8.15297224681386,0.472032,0.257699
10.4035771026027,8.15297224681386,0.467674,0.236554
10.8559371252889,8.52746729472766,0.473983,0.239118
11.6219758212127,10.7620566622797,0.534275,0.255459
9.98031061403674,8.25305300940529,0.579409,0.297296
10.7849148863795,8.94215719560113,0.458799,0.242299
10.354605264714,8.70250370534281,0.509668,0.252595
3.49567343789688,8.55742829107512,0.499607,0.261217
10.3604483403078,9.47366432451894,0.510584,0.271107
10.360487538798,9.47366432451894,0.60013,0.391996
1.21767083743222,9.78481757531388,0.508838,0.273455
5.61139816492972,11.3088376099956,0.399186,0.228256
3.02435127219753,8.15818597168804,0.431728,0.242261
4.51561248967924,5.18125268720015,0.382957,0.267974
0,0,0,0
1.30027882948954,1.31370681874581,0,0
2.4422134546094,2.38324139315553,0.208975,0.180171
4.20939516360153,7.03211041658792,0.410855,0.340948
1.03602854650045,4.59373819170403,0.257102,0.169307
1.71550429445198,3.28080245251716,0.296407,0.196335
3.23185729588576,10.5877893746842,0.482536,0.354475
1.57777036985838,5.21309404638202,0.233592,0.233789
1.48753279751174,5.4166894480289,0.304774,0.197996
6.02023714952821,4.99879858461392,0.311661,0.207386
3.31545347704638,5.79782582396323,0.284343,0.275003
2.89726972562118,3.97673674076405,0.445915,0.264622
6.45160492746399,10.4359726871654,0.454634,0.340558
2.43434441209127,8.42965328544638,0.519921,0.37153
3.03906934727844,8.63266731972769,0.46031,0.329178
2.91909579226693,7.70497513231485,0.475403,0.337044
2.99786260578236,8.65465298086134,0.512322,0.387134
5.45158118890634,9.51174339486549,0.58511,0.461891
4.67708621474356,10.1009649363619,0.489305,0.366551
2.85837381172006,9.46794672814885,0.646616,0.511456
3.04259071100297,8.55201871728906,0.538278,0.40449
3.07789382469677,7.8657382553425,0.424623,0.315008
1.5736369108466,2.36716405527978,0.245646,0.177761
3.7634160244851,7.31460163003998,0.442566,0.357928
4.8610373379103,9.84254959102208,0.526296,0.448686
5.71709362122939,6.92222791727486,0.444283,0.411417
5.51565244241388,6.1933566206532,0.389286,0.363132
5.74400429223609,6.19372269655305,0.3666,0.328824
5.7320635124808,6.77751076613442,0.329464,0.30903
5.45955090531049,6.05186406464343,0.392806,0.352937
5.46008233228759,6.01296772034874,0.393395,0.355204
5.52023346656745,6.02372701739509,0.377795,0.344335
7.72066924516528,6.43284797056688,0.471103,0.39135
1.57314717703401,2.36716405527978,0.20631,0.160768
6.53744641450903,6.39036660153834,0.438618,0.373905
8.06694847169875,6.53456062709196,0.458501,0.372454
6.53223205630944,6.00344923129252,0.381065,0.319009
7.61729070205619,6.23924284423201,0.434591,0.3676
7.61899422779007,6.23924284423201,0.429778,0.339103
8.03577069929329,6.54361440515018,0.41925,0.336139
