	CC18	CC21	CC36	CC34	CC42	CC39	CC15	CC23	CC24	CC5	CC6	CC41	CC19	CC16	CC35	CC32	CC45	CC48	CC4	CC3	CC12	CC8	CC11	CC51	CC29	CC28	CC27	CC1	CC13	CC17	CC50	CC49	CC43	CC44	CC46	CC38	CC33	CC30	CC121	CC20	CC22	CC26	CC47	CC37	CC10	CC14	CC2	CC25	CC31	CC7	CC66	CC40
CC49	0.375377	0.123647	0.0560779	0.0603475	0.0427826	0.0863464	0.115602	0.103052	0.125757	0.120895	0.118629	0.0524162	0.0720005	0.0973245	0.0494615	0.120821	0.0454616	0.059477	0.326693	0.33558	0.366417	0.370145	0.376837	0.185783	0.0735532	0.12056	0.210581	0.252595	0.369433	0.357937	0.0729351	0.0	0.0530038	0.0404792	0.0419884	0.055085	0.0766361	0.116514	0.0711908	0.0780105	0.07539	0.0986576	0.08347	0.0559349	0.33754	0.380802	0.269513	0.164904	0.137567	0.0826819	0.0465752	0.067206
CC43	0.428221	0.100047	0.0252026	0.0301019	0.0190923	0.0698131	0.0932562	0.076104	0.106447	0.0995735	0.0952576	0.029867	0.0446755	0.0775531	0.0220062	0.109236	0.0216296	0.0370039	0.352905	0.361478	0.410098	0.413293	0.421747	0.20151	0.0471792	0.0965565	0.220125	0.257699	0.413341	0.400147	0.0712024	0.0530038	0.0	0.0130112	0.0190946	0.0258375	0.0525739	0.0974065	0.0374028	0.0418299	0.0425028	0.0714159	0.0612839	0.025178	0.3676	0.430367	0.285262	0.156127	0.129101	0.0456855	0.015645	0.0411644
CC44	0.394159	0.0872167	0.0137456	0.02203	0.0102527	0.0583012	0.0800481	0.0638135	0.0913659	0.088384	0.0811429	0.0186554	0.035431	0.0680342	0.0153478	0.0923833	0.0145735	0.0290697	0.326485	0.335083	0.380027	0.38549	0.392781	0.176714	0.0366012	0.0794783	0.193871	0.236554	0.383201	0.367513	0.0572057	0.0404792	0.0130112	0.0	0.0107773	0.0179046	0.0423546	0.0837073	0.0316777	0.0317616	0.032958	0.0598549	0.0487454	0.0149028	0.339103	0.399006	0.262159	0.136628	0.105752	0.0365124	0.00912535	0.032844
CC46	0.424761	0.103236	0.0237745	0.0290069	0.0155183	0.0651694	0.0949605	0.0792319	0.111138	0.10139	0.0984491	0.0214874	0.0455674	0.0752631	0.0182083	0.107642	0.0197376	0.0333909	0.350396	0.359537	0.406873	0.410773	0.418095	0.19513	0.049184	0.0986119	0.224829	0.255459	0.410116	0.396973	0.0624499	0.0419884	0.0190946	0.0107773	0.0	0.0242249	0.0502384	0.0996206	0.0410487	0.0447114	0.0469506	0.0755491	0.0557242	0.0241977	0.364391	0.427665	0.282936	0.163352	0.128392	0.0509942	0.0139401	0.0367138
CC38	0.398663	0.079245	0.0181809	0.0246399	0.0215746	0.0706004	0.0745612	0.0589292	0.0860363	0.0798944	0.0738975	0.0303579	0.0343423	0.0674894	0.0190298	0.0977546	0.0266315	0.0403662	0.330928	0.339278	0.384993	0.389872	0.397458	0.19285	0.032074	0.0751372	0.187445	0.239039	0.388702	0.373561	0.0734552	0.055085	0.0258375	0.0179046	0.0242249	0.0	0.0461786	0.0816452	0.0288813	0.03012	0.0281245	0.0542986	0.0664121	0.0182546	0.344335	0.404032	0.26362	0.131863	0.111341	0.028552	0.0114305	0.039261
CC33	0.417167	0.0983671	0.0404109	0.0429613	0.0410879	0.0939391	0.087425	0.0730666	0.102251	0.0953855	0.0916458	0.0543759	0.0521588	0.0806104	0.0340851	0.119999	0.0508214	0.0619614	0.351232	0.358782	0.400471	0.405796	0.411897	0.212561	0.0477201	0.0942149	0.208853	0.260493	0.405419	0.39311	0.092432	0.0766361	0.0525739	0.0423546	0.0502384	0.0461786	0.0	0.0943489	0.0479283	0.0463456	0.0449342	0.0683961	0.0929723	0.0418556	0.363132	0.420232	0.282451	0.15735	0.134739	0.0525631	0.0336498	0.0615613
CC30	0.398368	0.104756	0.0738034	0.0728435	0.0814945	0.126576	0.0954028	0.0825496	0.106823	0.0992935	0.0974828	0.100882	0.0727283	0.101003	0.068095	0.145163	0.0921406	0.100732	0.347525	0.354839	0.385931	0.389884	0.395446	0.226671	0.0622611	0.105414	0.198873	0.265386	0.391081	0.381344	0.129564	0.116514	0.0974065	0.0837073	0.0996206	0.0816452	0.0943489	0.0	0.0679668	0.0631638	0.0591677	0.0797468	0.134712	0.0744848	0.357928	0.401963	0.281103	0.156726	0.14799	0.0670409	0.0678902	0.100895
CC121	0.39895	0.0607991	0.0135267	0.0232311	0.0333362	0.0825693	0.0550883	0.0408376	0.0660364	0.0628311	0.0556699	0.0446847	0.0287712	0.0608157	0.018894	0.101101	0.0413971	0.0528172	0.330691	0.337824	0.385164	0.39022	0.396103	0.204671	0.0183656	0.0545905	0.170433	0.234546	0.38868	0.37212	0.0881842	0.0711908	0.0374028	0.0316777	0.0410487	0.0288813	0.0479283	0.0679668	0.0	0.0104522	0.010814	0.0356587	0.0842283	0.019655	0.340948	0.403648	0.257849	0.114156	0.101291	0.0115485	0.015566	0.0450727
CC20	0.396219	0.0487137	0.0102772	0.0233476	0.0379507	0.0859666	0.0439463	0.0285293	0.0540477	0.0532242	0.0421695	0.0477397	0.0234296	0.0587933	0.0209797	0.104438	0.0473374	0.0570469	0.327571	0.334541	0.383275	0.388822	0.396412	0.210259	0.0112841	0.0397011	0.159091	0.231094	0.386613	0.36877	0.0962873	0.0780105	0.0418299	0.0317616	0.0447114	0.03012	0.0463456	0.0631638	0.0104522	0.0	-0.00874456	0.0233265	0.0854707	0.0147013	0.340558	0.402545	0.256925	0.102574	0.096224	-0.00151952	0.0161904	0.0479046
CC22	0.379425	0.0477824	0.0119641	0.0217629	0.0371832	0.0829971	0.0424902	0.026355	0.0508797	0.0501803	0.0385527	0.0500857	0.0213815	0.0570094	0.0208545	0.0979322	0.0468061	0.0574469	0.316915	0.324846	0.368584	0.374812	0.381093	0.200053	0.00717712	0.0424382	0.151942	0.223648	0.372299	0.355097	0.0923386	0.07539	0.0425028	0.032958	0.0469506	0.0281245	0.0449342	0.0591677	0.010814	-0.00874456	0.0	0.0214495	0.0860166	0.0162111	0.329178	0.386072	0.246847	0.101708	0.0903737	-0.00227923	0.0169586	0.0483867
CC26	0.421448	0.0724316	0.0422132	0.0450292	0.0582515	0.1128	0.0666088	0.0485305	0.0799728	0.0697415	0.0655188	0.0768853	0.042913	0.0759459	0.0400094	0.128903	0.0720277	0.0803654	0.35625	0.363093	0.40434	0.409089	0.415667	0.231257	0.0286814	0.0710402	0.188339	0.258419	0.409115	0.397733	0.115454	0.0986576	0.0714159	0.0598549	0.0755491	0.0542986	0.0683961	0.0797468	0.0356587	0.0233265	0.0214495	0.0	0.117256	0.0438522	0.366551	0.423957	0.280253	0.136756	0.127226	0.0298167	0.0394193	0.076137
CC47	0.461757	0.14567	0.0656762	0.0675141	0.0562517	0.111018	0.137449	0.11643	0.150302	0.140683	0.137201	0.0677298	0.0839576	0.113019	0.0607759	0.149311	0.0581129	0.0723126	0.390197	0.398975	0.440661	0.443263	0.45144	0.231078	0.0890463	0.143316	0.265653	0.297296	0.443536	0.435902	0.102265	0.08347	0.0612839	0.0487454	0.0557242	0.0664121	0.0929723	0.134712	0.0842283	0.0854707	0.0860166	0.117256	0.0	0.0680396	0.404261	0.462445	0.321586	0.202105	0.169471	0.0916412	0.0562272	0.0850594
CC37	0.415565	0.0692972	-0.0442363	0.0199914	0.0187232	0.0731736	0.0619551	0.0450649	0.077289	0.0715597	0.062686	0.0309975	0.0237843	0.0573699	0.00770973	0.100089	0.0247287	0.0401078	0.341054	0.34946	0.397671	0.402357	0.410411	0.205241	0.02021	0.0641438	0.196325	0.23991	0.401037	0.387447	0.0760491	0.0559349	0.025178	0.0149028	0.0241977	0.0182546	0.0418556	0.0744848	0.019655	0.0147013	0.0162111	0.0438522	0.0680396	0.0	0.355204	0.418543	0.267283	0.130908	0.110991	0.0176243	0.00490334	0.0359496
CC10	0.207386	0.37153	0.352937	0.328824	0.319009	0.39135	0.354475	0.337044	0.387134	0.352585	0.37749	0.372454	0.275003	0.233789	0.30903	0.411417	0.336139	0.332225	0.160768	0.177761	0.180171	0.168694	-0.00732375	0.476124	0.315008	0.40449	0.511456	0.244763	0.169307	0.197996	0.357326	0.33754	0.3676	0.339103	0.364391	0.344335	0.363132	0.357928	0.340948	0.340558	0.329178	0.366551	0.404261	0.355204	0.0	0.196335	0.264622	0.461891	0.448686	0.363154	0.332861	0.373905
CC14	0.139378	0.426566	0.417322	0.386505	0.372521	0.441586	0.409648	0.389221	0.441699	0.396455	0.430257	0.433254	0.326424	0.285065	0.364376	0.459684	0.391156	0.383115	0.207951	0.217184	0.156301	0.151127	0.202678	0.509101	0.363443	0.463223	0.544985	0.293352	0.0994313	0.122799	0.400241	0.380802	0.430367	0.399006	0.427665	0.404032	0.420232	0.401963	0.403648	0.402545	0.386072	0.423957	0.462445	0.418543	0.196335	0.0	0.310201	0.509329	0.497602	0.427587	0.394736	0.436945
CC2	0.312311	0.285392	0.265906	0.251701	0.248409	0.307196	0.273065	0.256132	0.298562	0.276331	0.292723	0.289446	0.203484	0.177471	0.234726	0.328095	0.262655	0.262423	0.233748	0.249516	0.285015	0.283278	0.290432	0.400714	0.237015	0.312147	0.411109	0.0248739	0.288609	0.298555	0.287305	0.269513	0.285262	0.262159	0.282936	0.26362	0.282451	0.281103	0.257849	0.256925	0.246847	0.280253	0.321586	0.267283	0.264622	0.310201	0.0	0.366809	0.35628	0.271542	0.253702	0.292532
CC25	0.511203	0.16084	0.130948	0.122684	0.129283	0.199303	0.148999	0.125161	0.166643	0.147709	0.150286	0.1665	0.115225	0.144133	0.112078	0.216516	0.14418	0.146391	0.448323	0.455108	0.48657	0.486771	0.492511	0.311838	0.103101	0.171736	0.305375	0.349441	0.490635	0.495645	0.183326	0.164904	0.156127	0.136628	0.163352	0.131863	0.15735	0.156726	0.114156	0.102574	0.101708	0.136756	0.202105	0.130908	0.461891	0.509329	0.366809	0.0	0.227912	0.118812	0.118256	0.166164
CC31	0.500755	0.153895	0.11231	0.102866	0.104868	0.166853	0.142888	0.12205	0.159843	0.14017	0.139308	0.135989	0.10524	0.136754	0.0969413	0.195428	0.117286	0.120398	0.435576	0.443255	0.476715	0.477196	0.483378	0.290707	0.0938016	0.16207	0.288204	0.337521	0.480105	0.482798	0.158942	0.137567	0.129101	0.105752	0.128392	0.111341	0.134739	0.14799	0.101291	0.096224	0.0903737	0.127226	0.169471	0.110991	0.448686	0.497602	0.35628	0.227912	0.0	0.10786	0.097174	0.139711
CC7	0.424469	0.0548305	0.013002	0.0267966	0.0395708	0.0926336	0.0453585	0.0291036	0.0629727	0.0558816	0.0496087	0.0524442	0.0235297	0.0578097	0.0211073	0.113227	0.0495796	0.0608235	0.348115	0.355212	0.408099	0.411123	0.418617	0.228246	0.0103704	0.0497619	0.184603	0.242261	0.409832	0.396011	0.1023	0.0826819	0.0456855	0.0365124	0.0509942	0.028552	0.0525631	0.0670409	0.0115485	-0.00151952	-0.00227923	0.0298167	0.0916412	0.0176243	0.363154	0.427587	0.271542	0.118812	0.10786	0.0	0.0152472	0.0524476
CC66	0.39005	0.0655936	0.0026517	0.0117426	0.0116102	0.0578901	0.0599279	0.0459278	0.0714608	0.0699547	0.062752	0.0199836	0.0228277	0.0550717	0.00564493	0.0883759	0.0175519	0.0318106	0.321428	0.328845	0.375924	0.381731	0.388873	0.182784	0.0212017	0.058651	0.174948	0.228256	0.379894	0.36253	0.0647229	0.0465752	0.015645	0.00912535	0.0139401	0.0114305	0.0336498	0.0678902	0.015566	0.0161904	0.0169586	0.0394193	0.0562272	0.00490334	0.332861	0.394736	0.253702	0.118256	0.097174	0.0152472	0.0	-0.00799205
CC40	0.435661	0.106672	0.0333452	0.0370973	0.031371	0.0896368	0.0928186	0.0793337	0.109904	0.102359	0.0995566	0.0447819	0.0489629	0.0782314	0.0260712	0.122071	0.041838	0.050664	0.360913	0.369863	0.414369	0.418787	0.426004	0.215076	0.0530803	0.0982262	0.2283	0.265	0.418589	0.407675	0.0841563	0.067206	0.0411644	0.032844	0.0367138	0.039261	0.0615613	0.100895	0.0450727	0.0479046	0.0483867	0.076137	0.0850594	0.0359496	0.373905	0.436945	0.292532	0.166164	0.139711	0.0524476	-0.00799205	0.0
