Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AWC,CEC,PH,TEB,toN,wind_flower,vapr,srad,srad_leaf
CHN1-4,110.1369377,26.4415701,13.2239999771118,7.16933298110962,26.1311168670654,747.248046875,26.4759998321533,-0.960000038146973,27.4360008239746,17.2140007019043,5.53333330154419,22.0259990692139,3.68733334541321,1542,255,43,54.7084693908691,687,169,549,171,163,11,5.30000019073486,5,1.53999996185303,2.2533333301544203,1.3751666744550075,12992.5,15886.0
CHN1-5,110.1369377,26.4415701,13.2239999771118,7.16933298110962,26.1311168670654,747.248046875,26.4759998321533,-0.960000038146973,27.4360008239746,17.2140007019043,5.53333330154419,22.0259990692139,3.68733334541321,1542,255,43,54.7084693908691,687,169,549,171,163,11,5.30000019073486,5,1.53999996185303,2.2533333301544203,1.3751666744550075,12992.5,15886.0
SRR26796371,107.908829,26.746752,15.2131662368774,7.7296667098999,27.390739440918,756.254943847656,29.1079998016357,0.888000011444092,28.2199993133545,22.5606670379639,5.61800003051758,24.1986656188965,5.61800003051758,1176,197,26,61.6424980163574,534,86,478,86,135,15,6.30000019073486,7,1.39999997615814,1.9253333012262999,1.4871666630109146,12801.416666666666,15705.42857142857
SRR26796372,107.908829,26.746752,15.2131662368774,7.7296667098999,27.390739440918,756.254943847656,29.1079998016357,0.888000011444092,28.2199993133545,22.5606670379639,5.61800003051758,24.1986656188965,5.61800003051758,1176,197,26,61.6424980163574,534,86,478,86,135,15,6.30000019073486,7,1.39999997615814,1.9253333012262999,1.4871666630109146,12801.416666666666,15705.42857142857
SRR26796373,107.908829,26.746752,15.2131662368774,7.7296667098999,27.390739440918,756.254943847656,29.1079998016357,0.888000011444092,28.2199993133545,22.5606670379639,5.61800003051758,24.1986656188965,5.61800003051758,1176,197,26,61.6424980163574,534,86,478,86,135,15,6.30000019073486,7,1.39999997615814,1.9253333012262999,1.4871666630109146,12801.416666666666,15705.42857142857
CYN4-1,99.63051944,26.79395556,8.97516632080078,10.0450000762939,43.1189918518066,504.078338623047,18.7239990234375,-4.57200002670288,23.2959995269775,14.8640003204346,3.43066668510437,14.8640003204346,2.54066681861877,855,144,12,60.9286003112793,379,53,379,69,159,13,5.90000009536743,9,1.33000004291534,2.6239999930063864,0.881733330587546,14580.833333333334,15133.42857142857
CYN4-2,99.63051944,26.79395556,8.97516632080078,10.0450000762939,43.1189918518066,504.078338623047,18.7239990234375,-4.57200002670288,23.2959995269775,14.8640003204346,3.43066668510437,14.8640003204346,2.54066681861877,855,144,12,60.9286003112793,379,53,379,69,159,13,5.90000009536743,9,1.33000004291534,2.6239999930063864,0.881733330587546,14580.833333333334,15133.42857142857
CYN4-3,99.63051944,26.79395556,8.97516632080078,10.0450000762939,43.1189918518066,504.078338623047,18.7239990234375,-4.57200002670288,23.2959995269775,14.8640003204346,3.43066668510437,14.8640003204346,2.54066681861877,855,144,12,60.9286003112793,379,53,379,69,159,13,5.90000009536743,9,1.33000004291534,2.6239999930063864,0.881733330587546,14580.833333333334,15133.42857142857
CYN4-4,99.63051944,26.79395556,8.97516632080078,10.0450000762939,43.1189918518066,504.078338623047,18.7239990234375,-4.57200002670288,23.2959995269775,14.8640003204346,3.43066668510437,14.8640003204346,2.54066681861877,855,144,12,60.9286003112793,379,53,379,69,159,13,5.90000009536743,9,1.33000004291534,2.6239999930063864,0.881733330587546,14580.833333333334,15133.42857142857
CYN4-5,99.63051944,26.79395556,8.97516632080078,10.0450000762939,43.1189918518066,504.078338623047,18.7239990234375,-4.57200002670288,23.2959995269775,14.8640003204346,3.43066668510437,14.8640003204346,2.54066681861877,855,144,12,60.9286003112793,379,53,379,69,159,13,5.90000009536743,9,1.33000004291534,2.6239999930063864,0.881733330587546,14580.833333333334,15133.42857142857
CYN4-6,99.63051944,26.79395556,8.97516632080078,10.0450000762939,43.1189918518066,504.078338623047,18.7239990234375,-4.57200002670288,23.2959995269775,14.8640003204346,3.43066668510437,14.8640003204346,2.54066681861877,855,144,12,60.9286003112793,379,53,379,69,159,13,5.90000009536743,9,1.33000004291534,2.6239999930063864,0.881733330587546,14580.833333333334,15133.42857142857
HH30,100.3666667,27.26666667,10.9519996643066,11.6979999542236,45.8313751220703,515.053955078125,22.0279998779297,-3.49600005149841,25.5240001678467,16.8999996185303,4.88000011444092,16.8999996185303,4.32666683197021,769,144,9,69.5011291503906,373,39,373,47,159,13,5.90000009536743,9,1.33000004291534,2.6706666946411133,0.8515000119805333,14329.5,15065.142857142857
HH31,100.3666667,27.26666667,10.9519996643066,11.6979999542236,45.8313751220703,515.053955078125,22.0279998779297,-3.49600005149841,25.5240001678467,16.8999996185303,4.88000011444092,16.8999996185303,4.32666683197021,769,144,9,69.5011291503906,373,39,373,47,159,13,5.90000009536743,9,1.33000004291534,2.6706666946411133,0.8515000119805333,14329.5,15065.142857142857
HH32,100.3666667,27.26666667,10.9519996643066,11.6979999542236,45.8313751220703,515.053955078125,22.0279998779297,-3.49600005149841,25.5240001678467,16.8999996185303,4.88000011444092,16.8999996185303,4.32666683197021,769,144,9,69.5011291503906,373,39,373,47,159,13,5.90000009536743,9,1.33000004291534,2.6706666946411133,0.8515000119805333,14329.5,15065.142857142857
CYN5-1,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN5-2,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN5-3,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN5-4,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN5-5,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN5-6,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN5-7,100.3862278,27.27761944,9.77649974822998,11.3003330230713,44.9997329711914,511.185485839844,20.6319999694824,-4.48000001907349,25.1119995117188,15.699333190918,3.80133318901062,15.699333190918,3.22000002861023,771,145,9,70.6980819702148,378,39,378,44,159,13,5.90000009536743,9,1.33000004291534,2.874666611353557,0.801899996896585,14243.666666666666,14995.42857142857
CYN2-1,99.969875,27.36171111,8.74600028991699,11.043999671936,44.360538482666,527.765319824219,19.2159996032715,-5.67999982833862,24.8959999084473,14.8520002365112,2.80866670608521,14.8520002365112,1.98066675662994,786,140,10,64.1189117431641,362,45,362,59,159,13,5.90000009536743,9,1.33000004291534,2.43733334541321,0.8092333376407624,14246.916666666666,15048.714285714286
CYN2-2,99.969875,27.36171111,8.74600028991699,11.043999671936,44.360538482666,527.765319824219,19.2159996032715,-5.67999982833862,24.8959999084473,14.8520002365112,2.80866670608521,14.8520002365112,1.98066675662994,786,140,10,64.1189117431641,362,45,362,59,159,13,5.90000009536743,9,1.33000004291534,2.43733334541321,0.8092333376407624,14246.916666666666,15048.714285714286
CYN2-3,99.969875,27.36171111,8.74600028991699,11.043999671936,44.360538482666,527.765319824219,19.2159996032715,-5.67999982833862,24.8959999084473,14.8520002365112,2.80866670608521,14.8520002365112,1.98066675662994,786,140,10,64.1189117431641,362,45,362,59,159,13,5.90000009536743,9,1.33000004291534,2.43733334541321,0.8092333376407624,14246.916666666666,15048.714285714286
CYN2-4,99.969875,27.36171111,8.74600028991699,11.043999671936,44.360538482666,527.765319824219,19.2159996032715,-5.67999982833862,24.8959999084473,14.8520002365112,2.80866670608521,14.8520002365112,1.98066675662994,786,140,10,64.1189117431641,362,45,362,59,159,13,5.90000009536743,9,1.33000004291534,2.43733334541321,0.8092333376407624,14246.916666666666,15048.714285714286
CYN2-5,99.969875,27.36171111,8.74600028991699,11.043999671936,44.360538482666,527.765319824219,19.2159996032715,-5.67999982833862,24.8959999084473,14.8520002365112,2.80866670608521,14.8520002365112,1.98066675662994,786,140,10,64.1189117431641,362,45,362,59,159,13,5.90000009536743,9,1.33000004291534,2.43733334541321,0.8092333376407624,14246.916666666666,15048.714285714286
HH45,99.05,27.8,10.1781663894653,10.2416667938232,41.5112953186035,546.59228515625,20.9039993286133,-3.76799988746643,24.6719989776611,16.492000579834,4.31533336639404,16.492000579834,3.21933317184448,935,169,11,66.5084991455078,439,48,439,73,156,18,5.09999990463257,5,2.25,2.1226666768391933,0.9054666633407281,14514.25,15323.714285714286
HH1,99.05,27.8,10.1781663894653,10.2416667938232,41.5112953186035,546.59228515625,20.9039993286133,-3.76799988746643,24.6719989776611,16.492000579834,4.31533336639404,16.492000579834,3.21933317184448,935,169,11,66.5084991455078,439,48,439,73,156,18,5.09999990463257,5,2.25,2.1226666768391933,0.9054666633407281,14514.25,15323.714285714286
HH4-3,99.05,27.8,10.1781663894653,10.2416667938232,41.5112953186035,546.59228515625,20.9039993286133,-3.76799988746643,24.6719989776611,16.492000579834,4.31533336639404,16.492000579834,3.21933317184448,935,169,11,66.5084991455078,439,48,439,73,156,18,5.09999990463257,5,2.25,2.1226666768391933,0.9054666633407281,14514.25,15323.714285714286
CZ36,99.05,27.8,10.1781663894653,10.2416667938232,41.5112953186035,546.59228515625,20.9039993286133,-3.76799988746643,24.6719989776611,16.492000579834,4.31533336639404,16.492000579834,3.21933317184448,935,169,11,66.5084991455078,439,48,439,73,156,18,5.09999990463257,5,2.25,2.1226666768391933,0.9054666633407281,14514.25,15323.714285714286
CZ37,99.05,27.8,10.1781663894653,10.2416667938232,41.5112953186035,546.59228515625,20.9039993286133,-3.76799988746643,24.6719989776611,16.492000579834,4.31533336639404,16.492000579834,3.21933317184448,935,169,11,66.5084991455078,439,48,439,73,156,18,5.09999990463257,5,2.25,2.1226666768391933,0.9054666633407281,14514.25,15323.714285714286
HH75,98.9,28.06666667,9.61866664886475,9.99866676330566,40.7709465026855,554.758911132812,20.42799949646,-4.09600019454956,24.5240001678467,15.9953336715698,3.78066658973694,15.9953336715698,2.54533338546753,936,177,11,69.8322982788086,457,46,457,66,159,15,6.0,13,1.69000005722046,2.1373333136240635,0.8802666614452993,14492.166666666666,15384.285714285714
HH76,98.9,28.06666667,9.61866664886475,9.99866676330566,40.7709465026855,554.758911132812,20.42799949646,-4.09600019454956,24.5240001678467,15.9953336715698,3.78066658973694,15.9953336715698,2.54533338546753,936,177,11,69.8322982788086,457,46,457,66,159,15,6.0,13,1.69000005722046,2.1373333136240635,0.8802666614452993,14492.166666666666,15384.285714285714
HH46,98.9,28.06666667,9.61866664886475,9.99866676330566,40.7709465026855,554.758911132812,20.42799949646,-4.09600019454956,24.5240001678467,15.9953336715698,3.78066658973694,15.9953336715698,2.54533338546753,936,177,11,69.8322982788086,457,46,457,66,159,15,6.0,13,1.69000005722046,2.1373333136240635,0.8802666614452993,14492.166666666666,15384.285714285714
HH47,98.9,28.06666667,9.61866664886475,9.99866676330566,40.7709465026855,554.758911132812,20.42799949646,-4.09600019454956,24.5240001678467,15.9953336715698,3.78066658973694,15.9953336715698,2.54533338546753,936,177,11,69.8322982788086,457,46,457,66,159,15,6.0,13,1.69000005722046,2.1373333136240635,0.8802666614452993,14492.166666666666,15384.285714285714
HH48,98.9,28.06666667,9.61866664886475,9.99866676330566,40.7709465026855,554.758911132812,20.42799949646,-4.09600019454956,24.5240001678467,15.9953336715698,3.78066658973694,15.9953336715698,2.54533338546753,936,177,11,69.8322982788086,457,46,457,66,159,15,6.0,13,1.69000005722046,2.1373333136240635,0.8802666614452993,14492.166666666666,15384.285714285714
CGZ1-5,107.2215225,28.19575698,13.7270002365112,6.94400024414062,25.4582786560059,741.139221191406,27.9039993286133,0.628000020980835,27.2759990692139,20.8026657104492,4.18933343887329,22.541332244873,4.18933343887329,1125,184,18,64.6963043212891,510,60,481,60,34,24,7.69999980926514,29,2.49000000953674,2.0920000076293963,1.3434666693210595,12220.25,15064.142857142857
CGZ1-1,107.2215225,28.19575698,13.7270002365112,6.94400024414062,25.4582786560059,741.139221191406,27.9039993286133,0.628000020980835,27.2759990692139,20.8026657104492,4.18933343887329,22.541332244873,4.18933343887329,1125,184,18,64.6963043212891,510,60,481,60,34,24,7.69999980926514,29,2.49000000953674,2.0920000076293963,1.3434666693210595,12220.25,15064.142857142857
CGZ1-2,107.2215225,28.19575698,13.7270002365112,6.94400024414062,25.4582786560059,741.139221191406,27.9039993286133,0.628000020980835,27.2759990692139,20.8026657104492,4.18933343887329,22.541332244873,4.18933343887329,1125,184,18,64.6963043212891,510,60,481,60,34,24,7.69999980926514,29,2.49000000953674,2.0920000076293963,1.3434666693210595,12220.25,15064.142857142857
CGZ1-3,107.2215225,28.19575698,13.7270002365112,6.94400024414062,25.4582786560059,741.139221191406,27.9039993286133,0.628000020980835,27.2759990692139,20.8026657104492,4.18933343887329,22.541332244873,4.18933343887329,1125,184,18,64.6963043212891,510,60,481,60,34,24,7.69999980926514,29,2.49000000953674,2.0920000076293963,1.3434666693210595,12220.25,15064.142857142857
CGZ1-4,107.2215225,28.19575698,13.7270002365112,6.94400024414062,25.4582786560059,741.139221191406,27.9039993286133,0.628000020980835,27.2759990692139,20.8026657104492,4.18933343887329,22.541332244873,4.18933343887329,1125,184,18,64.6963043212891,510,60,481,60,34,24,7.69999980926514,29,2.49000000953674,2.0920000076293963,1.3434666693210595,12220.25,15064.142857142857
CSC13-1,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC13-2,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC13-3,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC13-4,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC13-5,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC13-6,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC12-1,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CSC12-2,103.3630472,28.35803056,10.0203332901001,8.8439998626709,33.5610198974609,623.609924316406,22.2439994812012,-4.10799980163574,26.3519992828369,17.3360004425049,1.8253333568573,17.3360004425049,1.8253333568573,903,164,12,83.0544891357422,486,37,486,37,159,13,5.90000009536743,9,1.33000004291534,2.0839999516805037,1.0825666735569632,12007.083333333334,14073.42857142857
CZ40,98.83058612,28.47025116,10.3266668319702,10.8793334960938,41.9921760559082,575.861938476562,21.7040004730225,-4.2039999961853,25.9080009460449,16.9646663665771,4.11933326721191,16.9646663665771,2.95466661453247,901,183,8,77.7507400512695,471,34,471,47,165,15,8.0,39,1.01999998092651,1.9760000308354702,0.8620666662851965,14682.25,15578.57142857143
CZ41,98.83058612,28.47025116,10.3266668319702,10.8793334960938,41.9921760559082,575.861938476562,21.7040004730225,-4.2039999961853,25.9080009460449,16.9646663665771,4.11933326721191,16.9646663665771,2.95466661453247,901,183,8,77.7507400512695,471,34,471,47,165,15,8.0,39,1.01999998092651,1.9760000308354702,0.8620666662851965,14682.25,15578.57142857143
CZ42,98.83058612,28.47025116,10.3266668319702,10.8793334960938,41.9921760559082,575.861938476562,21.7040004730225,-4.2039999961853,25.9080009460449,16.9646663665771,4.11933326721191,16.9646663665771,2.95466661453247,901,183,8,77.7507400512695,471,34,471,47,165,15,8.0,39,1.01999998092651,1.9760000308354702,0.8620666662851965,14682.25,15578.57142857143
HH9-1,98.85,28.48333333,5.64516687393188,10.701000213623,41.7420806884766,578.132141113281,17.2040004730225,-8.43200016021729,25.6360015869141,12.4320001602173,-0.34933340549469,12.4320001602173,-1.58400011062622,674,132,8,69.7112884521484,326,35,326,38,159,13,5.90000009536743,9,1.33000004291534,2.6973332564036068,0.6391666680574416,14429.25,15526.57142857143
HH49,98.85,28.48333333,5.64516687393188,10.701000213623,41.7420806884766,578.132141113281,17.2040004730225,-8.43200016021729,25.6360015869141,12.4320001602173,-0.34933340549469,12.4320001602173,-1.58400011062622,674,132,8,69.7112884521484,326,35,326,38,159,13,5.90000009536743,9,1.33000004291534,2.6973332564036068,0.6391666680574416,14429.25,15526.57142857143
HH50,98.85,28.48333333,5.64516687393188,10.701000213623,41.7420806884766,578.132141113281,17.2040004730225,-8.43200016021729,25.6360015869141,12.4320001602173,-0.34933340549469,12.4320001602173,-1.58400011062622,674,132,8,69.7112884521484,326,35,326,38,159,13,5.90000009536743,9,1.33000004291534,2.6973332564036068,0.6391666680574416,14429.25,15526.57142857143
