Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
CM59,103.57,31.49,11.1408338546753,10.6949996948242,36.387451171875,668.528625488281,24.9120006561279,-4.48000001907349,29.3920001983643,18.3066673278809,2.37466669082642,18.9799995422363,2.37466669082642,804,152,5,81.6215591430664,409,23,407,23
CM57,103.57,31.49,11.1408338546753,10.6949996948242,36.387451171875,668.528625488281,24.9120006561279,-4.48000001907349,29.3920001983643,18.3066673278809,2.37466669082642,18.9799995422363,2.37466669082642,804,152,5,81.6215591430664,409,23,407,23
CM56,103.57,31.49,11.1408338546753,10.6949996948242,36.387451171875,668.528625488281,24.9120006561279,-4.48000001907349,29.3920001983643,18.3066673278809,2.37466669082642,18.9799995422363,2.37466669082642,804,152,5,81.6215591430664,409,23,407,23
CM55,103.57,31.49,11.1408338546753,10.6949996948242,36.387451171875,668.528625488281,24.9120006561279,-4.48000001907349,29.3920001983643,18.3066673278809,2.37466669082642,18.9799995422363,2.37466669082642,804,152,5,81.6215591430664,409,23,407,23
CM54,103.57,31.49,11.1408338546753,10.6949996948242,36.387451171875,668.528625488281,24.9120006561279,-4.48000001907349,29.3920001983643,18.3066673278809,2.37466669082642,18.9799995422363,2.37466669082642,804,152,5,81.6215591430664,409,23,407,23
CM65,103.81,32.73,-0.136000022292137,10.6426668167114,34.3002014160156,704.014282226562,14.4040002822876,-16.6240005493164,31.0279998779297,8.30200004577637,-9.07466697692871,8.30200004577637,-9.07466697692871,776,127,4,77.3353652954102,361,21,361,21
CM64,103.81,32.73,-0.136000022292137,10.6426668167114,34.3002014160156,704.014282226562,14.4040002822876,-16.6240005493164,31.0279998779297,8.30200004577637,-9.07466697692871,8.30200004577637,-9.07466697692871,776,127,4,77.3353652954102,361,21,361,21
CM63,103.81,32.73,-0.136000022292137,10.6426668167114,34.3002014160156,704.014282226562,14.4040002822876,-16.6240005493164,31.0279998779297,8.30200004577637,-9.07466697692871,8.30200004577637,-9.07466697692871,776,127,4,77.3353652954102,361,21,361,21
CM62,103.81,32.73,-0.136000022292137,10.6426668167114,34.3002014160156,704.014282226562,14.4040002822876,-16.6240005493164,31.0279998779297,8.30200004577637,-9.07466697692871,8.30200004577637,-9.07466697692871,776,127,4,77.3353652954102,361,21,361,21
CM60,103.81,32.73,-0.136000022292137,10.6426668167114,34.3002014160156,704.014282226562,14.4040002822876,-16.6240005493164,31.0279998779297,8.30200004577637,-9.07466697692871,8.30200004577637,-9.07466697692871,776,127,4,77.3353652954102,361,21,361,21
CM39,104.51,34.66,5.38233327865601,10.2039995193481,29.7180805206299,856.26171875,21.4440002441406,-12.8920001983643,34.3359985351562,14.478666305542,-5.83200025558472,15.4259996414185,-5.83200025558472,579,105,3,82.2050094604492,298,11,285,11
